PreCalc Pretest,Algebra Pretest,Course Term,Student Year,Calc Grade
,,15/FA,SR,F
,,15/FA,SR,W
,,15/FA,SR,B-
,,15/FA,SO,A
,,15/FA,SO,B
,,15/FA,FR,F
,94,15/SP,FR,A
,90,15/SP,JR,W
,90,15/SP,JR,C
,77,15/SP,JR,B
,61,15/SP,SO,W
,55,15/SP,SO,C-
,,15/SP,JR,W
,,15/SP,SR,W
,,15/SP,JR,B-
,,15/SP,SR,P
,,15/SP,SR,W
,,15/SP,JR,C
,,15/SP,FR,W
,,15/SP,SO,W
,,15/SP,SR,A
,,15/SP,SO,D
,,15/SP,SO,C+
,,15/SP,FR,C+
,,15/SP,FR,B
,,15/SP,SO,A
,,15/SP,FR,F
,,15/SP,SO,A
,,15/SP,FR,W
,,15/SP,FR,W
,,15/SP,FR,B+
,100,16/FA,JR,A-
,87,16/FA,FR,B-
,87,16/FA,FR,A-
,84,16/FA,SR,B
,84,16/FA,SO,B-
,81,16/FA,SO,A
,81,16/FA,FR,A-
,77,16/FA,SO,W
,77,16/FA,SO,W
,71,16/FA,SO,C
,61,16/FA,FR,F
,52,16/FA,JR,W
,,16/FA,SO,W
,,16/FA,SO,D
,,16/FA,FR,A+
,,16/FA,FR,A
,,16/FA,FR,W
,,16/FA,FR,A
,,16/FA,FR,B+
,94,16/SP,JR,B+
,90,16/SP,FR,W
,87,16/SP,SO,A-
,87,16/SP,SO,A
,84,16/SP,JR,A
,77,16/SP,FR,F
,,16/SP,SR,A
,,16/SP,SR,A
,,16/SP,FR,D
,,16/SP,FR,B+
,,16/SP,FR,B
,100,17/FA,SO,A
,97,17/FA,FR,A-
,94,17/FA,FR,A
,90,17/FA,FR,B+
,87,17/FA,SO,A
,87,17/FA,FR,B+
,81,17/FA,SO,W
,77,17/FA,FR,C+
,71,17/FA,SO,C-
,71,17/FA,FR,W
,39,17/FA,SO,F
,32,17/FA,FR,F
,,17/FA,FR,W
,,17/FA,SO,D
,,17/FA,FR,A-
,,17/FA,FR,C-
,,17/FA,FR,D
,,17/FA,FR,W
,,17/FA,FR,C
,,17/FA,FR,C-
,100,17/SP,SO,A
,90,17/SP,JR,A-
,84,17/SP,FR,B+
,74,17/SP,SO,B
,58,17/SP,FR,A-
,,17/SP,FR,F
,,17/SP,JR,D
,,17/SP,SR,A
,,17/SP,FR,A
,,17/SP,FR,D-
,,17/SP,FR,B-
,,17/SP,SO,A
